lat,lon,point_id,shops_total,shops_shoes,restaurants,banks,pharmacy,metro_station,bus_stop,parking,hotels,attractions,museums,parks,business_centers,total_pois
48.8520954954955,2.345353685171459,48.852095_2.345354,680,10,355,23,12,6,47,7,78,16,8,17,64,1573
48.8520954954955,2.3522,48.852095_2.352200,549,4,215,13,11,4,38,19,36,14,10,19,62,1236
48.8520954954955,2.3590463148285408,48.852095_2.359046,532,16,158,12,10,3,30,16,25,10,10,14,67,1117
48.8566,2.345353685171459,48.856600_2.345354,587,20,355,12,10,8,55,13,44,18,6,10,58,1560
48.8566,2.3522,48.856600_2.352200,839,35,310,10,15,5,46,15,34,20,10,15,64,1852
48.8566,2.3590463148285408,48.856600_2.359046,1080,40,235,14,17,2,26,12,35,12,13,27,89,1983
48.8611045045045,2.345353685171459,48.861105_2.345354,1050,48,483,23,16,7,44,35,40,13,6,7,133,2306
48.8611045045045,2.3522,48.861105_2.352200,1441,58,522,20,20,7,41,12,42,14,7,6,128,2800
48.8611045045045,2.3590463148285408,48.861105_2.359046,1305,35,311,16,18,2,28,7,37,9,10,20,119,2327
